Company_name,Website,Sector,Country,Source,Active,No_of_employees
Tinker Federal Credit Union,https://tinkerfcu.org,Financial Services,,CompaniesAPI,True,
X } ,https://hpe.com,Technology Information And Media,,CompaniesAPI,True,
Workday,https://workday.com,Software Development,,CompaniesAPI,True,
LogicMonitor,https://logicmonitor.com,Technology Information And Internet,,CompaniesAPI,True,
Encore Capital Group,https://encorecapital.com,Financial Services,,CompaniesAPI,True,
Outbrain,https://outbrain.com,Internet,,CompaniesAPI,True,
Slack,https://slack.com,Technology Information And Internet,,CompaniesAPI,True,
Sandisk,https://sandisk.com,Semiconductor Manufacturing,,CompaniesAPI,True,
Apptio,https://apptio.com,Technology Information And Internet,,CompaniesAPI,True,
Cox Enterprises,https://coxenterprises.com,Telecommunications,,CompaniesAPI,True,
ITRenew,https://ironmountain.com,It Services And It Consulting,,CompaniesAPI,True,
Bullhorn,https://bullhorn.com,Computer Software,,CompaniesAPI,True,
DaVita,https://davita.com,Hospitals And Health Care,,CompaniesAPI,True,
CNN,https://cnn.com,Media And Telecommunications,,CompaniesAPI,True,
bechtle,https://bechtle.com,Information Technology And Services,,CompaniesAPI,True,
Grid Dynamics,https://griddynamics.com,Information Technology And Services,,CompaniesAPI,True,
Logica,https://cgi.com,It Services And It Consulting,,CompaniesAPI,True,
KPS,https://kps.com,It Services And It Consulting,,CompaniesAPI,True,
Menarini Group,https://menarini.com,Pharmaceutical Manufacturing,,CompaniesAPI,True,
TeamSystem,https://teamsystem.com,Software Development,,CompaniesAPI,True,
Bell,https://bell.ca,Telecommunications,,CompaniesAPI,True,
Alexion,https://alexion.com,Pharmaceutical Manufacturing,,CompaniesAPI,True,
NETGEAR,https://netgear.com,Technology Information And Internet,,CompaniesAPI,True,
Snapchat,https://snapchat.com,Mobile Computing Software Products,,CompaniesAPI,True,
Children's Hospital Colorado,https://childrenscolorado.org,Hospitals And Health Care,,CompaniesAPI,True,
Lilly,https://lilly.com,Pharmaceutical Manufacturing,,CompaniesAPI,True,
UCB,https://ucb.com,Pharmaceutical Manufacturing,,CompaniesAPI,True,
CTG,https://ctg.com,It Services And It Consulting,,CompaniesAPI,True,
Hootsuite,https://hootsuite.com,Software Development,,CompaniesAPI,True,
BlackBerry,https://blackberry.com,Technology Information And Internet,,CompaniesAPI,True,
Edenred,https://edenred.com,Financial Services,,CompaniesAPI,True,
LCL,https://lcl.fr,Banking,,CompaniesAPI,True,
Bankrate,https://bankrate.com,Financial Services,,CompaniesAPI,True,
